name	type	default	owner	scope	stability	read_phase	replacement	sunset	notes
FERRUM_BIN	path	./target/release/ferrum	scripts/bench_vs_vllm.sh; scripts/bottleneck_localize.sh; scripts/paris_bisect.sh; scripts/lm_eval_light.sh	benchmark	default	test-only	bench_preset.ferrum_bin	Move into runner manifest/script args	Ferrum binary path used by local benchmark scripts.
FERRUM_BIN_FEATURES	string	metal on macOS; empty on Linux	scripts/compare-commits.sh	benchmark	default	build	bench_preset.build_features	Move into compare-commits preset	Cargo feature list for per-commit binary builds.
FERRUM_CUTLASS_INCLUDE_DIR	path	unset; falls back to CUTLASS_INCLUDE_DIR or common workspace paths	crates/ferrum-kernels/build.rs	build	default	build	build.fa2_source.cutlass_include_dir	none	CUTLASS/CUTE header root for source-built FA2 kernels.
FERRUM_DIR	path	repository root	scripts/regen-triton-ptx.sh; scripts/regen-fused-moe-tile-sweep.sh; scripts/sweep-fused-moe-tiles.sh	build	default	build	script.repo_root	Move to script positional arg or workspace discovery	Repository path used by generation scripts.
FERRUM_FA2_SRC_DIR	path	/workspace/vllm-flash-attention-f5bc33c	crates/ferrum-kernels/build.rs	build	experimental	build	build.fa2_source.source_dir	Replace external checkout with vendored/source-owned dependency	FlashAttention source tree for source-linked FA2 build.
FERRUM_FORCE_PER_ITEM	bool	unset	crates/ferrum-kernels/tests/qk_norm_rope_batched_eq.rs	test	diagnostic	test-only	none	Remove after the old per-item comparison note is obsolete	Test note for forcing legacy per-item behavior during QK/rope parity work.
FERRUM_FUSED_MOE_TILE	string	unset	scripts/regen-fused-moe-tile-sweep.sh	build	diagnostic	build	none	Remove after Triton fused-MoE regeneration path is retired	Tile selector for generating experimental Triton fused-MoE PTX.
FERRUM_FUSED_MOE_TILE_BENCH	string	16x64x32	crates/ferrum-kernels/tests/triton_fused_moe_tile_sweep.rs; scripts/sweep-fused-moe-tiles.sh	test	diagnostic	test-only	none	Remove after fused-MoE tile sweep tests are retired	Tile selector for Triton fused-MoE microbench tests.
FERRUM_GGUF_LOAD_TRACE	bool	unset	crates/ferrum-quantization/src/gguf/loader.rs	debug	diagnostic	startup	runtime_config.diagnostics.gguf_load_trace	Replace with structured loader diagnostics	Emits GGUF tensor loading trace lines.
FERRUM_GRAPH	bool	unset; no runtime effect	scripts/paris_bisect.sh; scripts/sweep_bottleneck.sh	benchmark	deprecated	test-only	FERRUM_MOE_GRAPH	Remove when M3 scripts use named presets	Known placebo label kept only in old benchmark case envs.
FERRUM_KV_DTYPE	enum	fp16	crates/ferrum-cli/src/commands/run.rs; crates/ferrum-cli/src/commands/serve.rs	runtime	experimental	startup	--kv-dtype / runtime_config.kv_cache.dtype	Remove env fallback after CLI/config path is canonical	KV cache dtype override; INT8/FP8 model support is still limited.
FERRUM_M3_PATH	path	/workspace/models/M3	crates/ferrum-models/tests/qwen3_moe_safetensors_smoke.rs	test	default	test-only	none	none	Model directory override for ignored Qwen3-MoE safetensors smoke.
FERRUM_MAX_BATCH	integer	unset; source resolver may set 1 for GGUF chat defaults	crates/ferrum-cli/src/source_resolver.rs; scripts/phase-e-verify.sh; scripts/test_gpu.sh	runtime	deprecated	startup	runtime_config.scheduler.max_batch / FERRUM_PAGED_MAX_SEQS	Remove after source_resolver stops setting this no-op alias	Legacy max-batch knob; current M3 path is governed by paged max seqs and scheduler config.
FERRUM_NVCC_THREADS	integer	0	crates/ferrum-kernels/build.rs; scripts/microbenches/build_fa2_ferrum_source_shim.sh	build	default	build	build.nvcc_threads	none	NVCC --threads value for CUDA static library builds and FA2 source shim.
FERRUM_OPENAI_BASE_URL	url	unset; set by test fixture	crates/ferrum-cli/tests/server_openai_compat.rs	test	default	test-only	none	none	Base URL passed from Rust fixture to Python SDK compatibility snippets.
FERRUM_OPENAI_MODEL	string	unset; set by test fixture	crates/ferrum-cli/tests/server_openai_compat.rs	test	default	test-only	none	none	Model id passed from Rust fixture to Python SDK compatibility snippets.
FERRUM_PARITY_FORCE_EXPERT0	bool	unset	crates/ferrum-quantization/tests/marlin_moe_vllm_parity_test.rs	test	diagnostic	test-only	none	Remove after Marlin MoE parity harness no longer needs forced routing	Forces expert 0 in quantization parity tests.
FERRUM_PARITY_UNIT_SCALES	bool	unset	crates/ferrum-quantization/tests/marlin_moe_vllm_parity_test.rs	test	diagnostic	test-only	none	Remove after Marlin MoE parity harness no longer needs unit-scale mode	Uses unit scales in quantization parity tests.
FERRUM_PID	integer	unset	scripts/bench_vs_vllm.sh; scripts/bottleneck_localize.sh	benchmark	diagnostic	test-only	bench_manifest.process_id	Move to artifact manifest cleanup status	Internal benchmark script process id for cleanup.
FERRUM_PORT	integer	8800 in bench scripts	scripts/bench_vs_vllm.sh; scripts/bottleneck_localize.sh	benchmark	default	test-only	bench_preset.ferrum_port	Move to runner port allocator	Ferrum server port used by benchmark scripts.
FERRUM_PROFILE_COMMIT_SHA	string	unset; typed serve profile config supplies git head when available	crates/ferrum-bench-core/src/profile.rs; crates/ferrum-kernels/kernels/vllm_marlin_moe/ops.cu	debug	diagnostic	startup	profile_metadata.commit_sha	Replace remaining C++ env bridge with typed sink	Git commit stamped into native profile JSONL events.
FERRUM_PROFILE_CONCURRENCY	integer	1; typed serve profile config supplies benchmark concurrency	crates/ferrum-bench-core/src/profile.rs; crates/ferrum-kernels/kernels/vllm_marlin_moe/ops.cu	debug	diagnostic	startup	profile_metadata.concurrency	Replace remaining C++ env bridge with typed sink	Closed-loop concurrency stamped into native profile JSONL events.
FERRUM_PROFILE_ENV_HASH	string	sha256:unknown; typed serve profile config supplies manifest env hash	crates/ferrum-bench-core/src/profile.rs; crates/ferrum-kernels/kernels/vllm_marlin_moe/ops.cu	debug	diagnostic	startup	profile_metadata.env_hash	Replace remaining C++ env bridge with typed sink	Environment hash stamped into native profile JSONL events.
FERRUM_PROFILE_JSONL	path	unset	crates/ferrum-bench-core/src/profile.rs; crates/ferrum-kernels/kernels/vllm_marlin_moe/ops.cu	debug	diagnostic	startup	runtime_config.diagnostics.profile_jsonl	Replace remaining C++ env bridge with typed sink	Native structured profile JSONL output path.
FERRUM_PROFILE_MODEL	string	unknown; typed serve profile config supplies HF model id	crates/ferrum-bench-core/src/profile.rs; crates/ferrum-kernels/kernels/vllm_marlin_moe/ops.cu	debug	diagnostic	startup	profile_metadata.model	Replace remaining C++ env bridge with typed sink	Model label stamped into native profile JSONL events.
FERRUM_PROFILE_RUNTIME_FLAGS_JSON	json	{}; typed serve profile config supplies runtime config snapshot	crates/ferrum-bench-core/src/profile.rs; crates/ferrum-kernels/kernels/vllm_marlin_moe/ops.cu	debug	diagnostic	startup	profile_metadata.runtime_flags	Replace remaining C++ env bridge with typed sink	Runtime config snapshot embedded in native profile JSONL events.
FERRUM_PROFILE_STAGES	bool	0	scripts/sweep_bottleneck.sh	benchmark	diagnostic	test-only	bench_preset.profile_stages	Move into named diagnostic preset	Enables stage profile envs in bottleneck sweep script.
FERRUM_PYTHON	path	PYTHON env or python3	crates/ferrum-cli/tests/server_openai_compat.rs	test	default	test-only	none	none	Python interpreter for ignored OpenAI SDK compatibility tests.
FERRUM_QWEN_TEST_MODEL_PATH	path	unset	crates/ferrum-engine/tests/qwen_concurrency.rs	test	default	test-only	none	none	Model path for ignored Qwen concurrency integration test.
FERRUM_SCHED_NONE_PROF	bool	unset	crates/ferrum-scheduler/src/implementations/continuous.rs	debug	diagnostic	request	runtime_config.diagnostics.scheduler_none_prof	Replace with structured scheduler profile event	Logs scheduler None/SOME decisions for debugging.
FERRUM_SCHED_PREFILL_FIRST_UNTIL_ACTIVE	integer	unset; 0 disables	crates/ferrum-scheduler/src/implementations/continuous.rs; scripts/m3_prefill_first_ab.sh	runtime	experimental	request	runtime_config.scheduler.prefill_first_until_active	Retire env after scheduler admission policy is typed	Prefill-first admission experiment; can improve tail but worsens TTFT.
FERRUM_SCHED_PROMPT_TOKEN_ESTIMATE	bool	0	crates/ferrum-scheduler/src/implementations/continuous.rs	runtime	experimental	request	runtime_config.scheduler.prompt_token_estimate	Retire env after scheduler typed config and direct A/B decision	Uses request prompt-token metadata for initial scheduler estimate.
FERRUM_TRACE_OUT	path	unset	crates/ferrum-bench-core/src/trace.rs; crates/ferrum-cli/src/commands/bench.rs	debug	diagnostic	startup	runtime_config.diagnostics.trace_out	Replace with structured profile sink config	Chrome trace JSON output path for profiling.
FERRUM_UPDATE_FIXTURES	bool	0	crates/ferrum-cli/tests/reference_match.rs; .github/workflows/chat-smoke.yml	test	diagnostic	test-only	none	Remove after reference fixture regeneration moves to an explicit cargo xtask	Regenerates CLI reference-match fixtures in ignored/update-mode tests.
FERRUM_VLLM_VARLEN_SPLIT_K	bool	0	scripts/m3_vllm_varlen_splitk_ab.sh	runtime	deprecated	startup	none	Remove after negative-control script is archived	Negative-control vLLM-layout varlen split-K experiment.
FERRUM_VLLM_VARLEN_TILED_Q4	bool	0	crates/ferrum-models/src/models/qwen3_moe_forward_unified.rs; scripts/m3_vllm_varlen_tiled_q4_ab.sh	runtime	deprecated	startup	none	Remove after simple tiled-Q4 negative-control path is archived	Simple Q4 varlen tiling experiment; not default-worthy.
FERRUM_BATCHED_TRACE	bool	unset	crates/ferrum-models/src/models/llama_family_forward_batched.rs	debug	diagnostic	request	runtime_config.diagnostics.batched_trace	Replace with structured trace event	Trace logging for batched llama-family path.
FERRUM_BATCH_DECODE_PROF	bool	unset	crates/ferrum-engine/src/continuous_engine.rs; crates/ferrum-models/src/executor/llm_executor.rs	debug	diagnostic	request	runtime_config.diagnostics.batch_decode_prof	Replace with structured profile event	Batch decode timing/profiling prints.
FERRUM_BATCH_PREFILL_PROF	bool	unset	crates/ferrum-models/src/executor/llm_executor.rs	debug	diagnostic	request	runtime_config.diagnostics.batch_prefill_prof	Replace with structured profile event	Batch prefill timing/profiling prints.
FERRUM_DECODE_LAYER_PROFILE	bool	unset	crates/ferrum-models/src/models/llama_family.rs	debug	diagnostic	request	runtime_config.diagnostics.decode_layer_profile	Replace with structured layer profile event	Llama-family decode layer timing prints.
FERRUM_DECODE_OP_PROFILE	bool	unset	crates/ferrum-models/src/models/llama_family.rs; crates/ferrum-models/src/models/qwen3_moe.rs; crates/ferrum-models/src/moe/dispatch.rs	debug	diagnostic	request	runtime_config.diagnostics.decode_op_profile	Replace with structured operation profile event	Decode operation timing prints used by M3 profiles.
FERRUM_DIAG	bool	0	crates/ferrum-kernels/src/backend/cuda/cuda_decode.rs	debug	diagnostic	startup	runtime_config.diagnostics.cuda_decode_all	Replace with typed CUDA diagnostics config	Master switch for CUDA decode diagnostics.
FERRUM_DIAG_ATTN	bool	0	crates/ferrum-kernels/src/backend/cuda/cuda_decode.rs	debug	diagnostic	startup	runtime_config.diagnostics.cuda_decode_attention	Replace with typed CUDA diagnostics config	CUDA decode attention diagnostic logs.
FERRUM_DIAG_NUMERICAL	bool	0	crates/ferrum-kernels/src/backend/cuda/cuda_decode.rs	debug	diagnostic	startup	runtime_config.diagnostics.cuda_decode_numerical	Replace with typed CUDA diagnostics config	CUDA decode numerical diagnostic logs.
FERRUM_DIAG_SHAPES	bool	0	crates/ferrum-kernels/src/backend/cuda/cuda_decode.rs	debug	diagnostic	startup	runtime_config.diagnostics.cuda_decode_shapes	Replace with typed CUDA diagnostics config	CUDA decode shape diagnostic logs.
FERRUM_DIAG_TIMING	bool	0	crates/ferrum-kernels/src/backend/cuda/cuda_decode.rs	debug	diagnostic	startup	runtime_config.diagnostics.cuda_decode_timing	Replace with typed CUDA diagnostics config	CUDA decode timing diagnostic logs.
FERRUM_GRAPH_PROF	bool	unset	crates/ferrum-kernels/src/backend/cuda/graph.rs; scripts/m3_graph_runtime_profile.sh	debug	diagnostic	request	runtime_config.diagnostics.graph_prof	Replace with structured graph replay profile event	CUDA graph replay upload/launch timing prints.
FERRUM_GRAPH_SKIP_SYNC	bool	0	crates/ferrum-kernels/src/backend/cuda/graph.rs	debug	diagnostic	request	runtime_config.diagnostics.graph_skip_sync	Remove after graph sync A/B diagnostics are archived	Skips graph replay synchronization for diagnostic A/B only.
FERRUM_GRAPH_SKIP_UPLOAD	bool	0	crates/ferrum-kernels/src/backend/cuda/graph.rs; scripts/paris_bisect.sh; scripts/sweep_bottleneck.sh	debug	diagnostic	request	runtime_config.diagnostics.graph_skip_upload	Remove after graph upload A/B diagnostics are archived	Skips graph upload for diagnostic A/B only; measured negative.
FERRUM_METAL_QUANT_PROFILE	bool	unset	crates/ferrum-kernels/src/backend/metal/quant.rs	debug	diagnostic	request	runtime_config.diagnostics.metal_quant_profile	Replace with structured Metal profile event	Metal quantization timing/profile logs.
FERRUM_MMAP_TRACE	bool	unset	crates/ferrum-kernels/src/backend/metal/mod.rs; crates/ferrum-kernels/src/backend/metal/quant.rs	debug	diagnostic	startup	runtime_config.diagnostics.mmap_trace	Replace with structured mmap diagnostics	Metal mmap registry hit/miss trace logs.
FERRUM_MOE_DUMP	bool	unset	crates/ferrum-kernels/src/backend/cuda/moe.rs; scripts/m3_route_unified_profile.sh	debug	diagnostic	request	runtime_config.diagnostics.moe_route_dump	Replace with structured route dump artifact	Copies and prints MoE route shape/debug data.
FERRUM_MOE_DUMP_BATCH_X_TOPK	integer	unset	crates/ferrum-kernels/src/backend/cuda/moe.rs; scripts/m3_route_unified_profile.sh	debug	diagnostic	request	runtime_config.diagnostics.moe_route_dump_batch_x_topk	Replace with structured route dump filter	Filters MoE route dump to a target batch_x_topk.
FERRUM_MOE_LOAD_TRACE	bool	unset	crates/ferrum-models/src/moe/dispatch.rs	debug	diagnostic	startup	runtime_config.diagnostics.moe_load_trace	Replace with structured loader diagnostics	MoE weight/load tracing.
FERRUM_MOE_PROFILE	bool	unset	crates/ferrum-models/src/models/qwen3_moe.rs; crates/ferrum-models/src/moe/dispatch.rs	debug	diagnostic	request	runtime_config.diagnostics.moe_profile	Replace with structured MoE profile event	MoE timing/profile prints.
FERRUM_NEXT_BATCH_PROF	bool	unset	crates/ferrum-engine/src/continuous_engine.rs	debug	diagnostic	request	runtime_config.diagnostics.next_batch_prof	Replace with structured scheduler/engine profile event	Engine next-batch timing/profile prints.
FERRUM_PREFILL_OP_PROFILE	bool	unset	crates/ferrum-models/src/models/llama_family.rs	debug	diagnostic	request	runtime_config.diagnostics.prefill_op_profile	Replace with structured prefill profile event	Llama-family prefill operation timing prints.
FERRUM_QWEN_UNIFIED_TRACE	bool	0	crates/ferrum-models/src/models/qwen3_moe.rs	debug	diagnostic	request	runtime_config.diagnostics.qwen_unified_trace	Replace with structured unified-path event	Qwen3 unified path trace logs.
FERRUM_RBD_PROF	bool	unset	crates/ferrum-engine/src/continuous_engine.rs; crates/ferrum-models/src/models/qwen3_moe.rs	debug	diagnostic	request	runtime_config.diagnostics.rbd_prof	Replace with structured route/batched-decode profile event	Route/batched-decode profile logs.
FERRUM_UNIFIED_LAYER_PROF	bool	enabled when set and not 0	crates/ferrum-models/src/models/qwen3_moe_forward_unified.rs	debug	diagnostic	request	runtime_config.diagnostics.unified_layer_prof	Replace with structured unified layer profile event	Unified Qwen3 layer timing prints.
FERRUM_UNIFIED_LAYER_PROF_EVERY	integer	1	crates/ferrum-models/src/models/qwen3_moe_forward_unified.rs	debug	diagnostic	request	runtime_config.diagnostics.unified_layer_prof_every	Replace with structured unified layer profile config	Emission interval for unified layer profile logs.
FERRUM_UNIFIED_LAYER_PROF_MAX_M	integer	unset	crates/ferrum-models/src/models/qwen3_moe_forward_unified.rs	debug	diagnostic	request	runtime_config.diagnostics.unified_layer_prof_max_m	Replace with structured unified layer profile filter	Max M filter for unified layer profile logs.
FERRUM_UNIFIED_LAYER_PROF_MIN_SEQS	integer	unset	crates/ferrum-models/src/models/qwen3_moe_forward_unified.rs	debug	diagnostic	request	runtime_config.diagnostics.unified_layer_prof_min_seqs	Replace with structured unified layer profile filter	Minimum sequence-count filter for unified layer profile logs.
FERRUM_UNIFIED_POST_PROF	bool	unset	crates/ferrum-engine/src/continuous_engine.rs	debug	diagnostic	request	runtime_config.diagnostics.unified_post_prof	Replace with structured decode-post profile event	Unified decode postprocess timing prints.
FERRUM_UNIFIED_PROFILE	bool	unset	crates/ferrum-models/src/models/llama_family_forward_batched.rs	debug	diagnostic	request	runtime_config.diagnostics.unified_profile	Replace with structured unified profile event	Unified llama-family forward timing prints.
FERRUM_VLLM_MOE_LOG_CONFIG	bool	unset	crates/ferrum-kernels/kernels/vllm_marlin_moe/ops.cu	debug	diagnostic	request	runtime_config.diagnostics.vllm_moe_log_config	Replace C++ getenv with typed one-time init/config logger	Enables vLLM Marlin MoE config logging.
FERRUM_VLLM_MOE_LOG_CONFIG_LIMIT	integer	unset	crates/ferrum-kernels/kernels/vllm_marlin_moe/ops.cu	debug	diagnostic	request	runtime_config.diagnostics.vllm_moe_log_config_limit	Replace C++ getenv with typed one-time init/config logger	Limits vLLM Marlin MoE config log rows.
FERRUM_VLLM_MOE_LOG_CONFIG_MAX_PAIRS	integer	unset	crates/ferrum-kernels/kernels/vllm_marlin_moe/ops.cu	debug	diagnostic	request	runtime_config.diagnostics.vllm_moe_log_config_max_pairs	Replace C++ getenv with typed one-time init/config logger	Maximum pair-count filter for vLLM Marlin MoE config logs.
FERRUM_VLLM_MOE_LOG_CONFIG_MIN_PAIRS	integer	unset	crates/ferrum-kernels/kernels/vllm_marlin_moe/ops.cu	debug	diagnostic	request	runtime_config.diagnostics.vllm_moe_log_config_min_pairs	Replace C++ getenv with typed one-time init/config logger	Minimum pair-count filter for vLLM Marlin MoE config logs.
FERRUM_BATCHED_GRAPH	bool	0	crates/ferrum-models/src/models/llama_family_forward_batched.rs; crates/ferrum-kernels/src/backend/cuda/mod.rs	runtime	experimental	request	runtime_config.graph.batched	Retire env after graph config is typed	Enables legacy llama-family batched CUDA graph capture path.
FERRUM_CHUNKED_PREFILL	integer	unset	crates/ferrum-engine/src/continuous_engine.rs	runtime	experimental	request	runtime_config.scheduler.chunked_prefill	Retire env after scheduler typed config owns chunking	Opt-in chunked prefill size used by engine prefill splitting.
FERRUM_CUDA_DEVICE	integer	0	crates/ferrum-kernels/src/backend/cuda/mod.rs	runtime	default	startup	runtime_config.cuda.device_ordinal	none	CUDA device ordinal for default context creation.
FERRUM_CUDA_GRAPH	bool	0	crates/ferrum-cli/src/commands/bench.rs; crates/ferrum-models/src/models/llama_family.rs	runtime	experimental	startup	runtime_config.graph.cuda	Retire env after graph config is typed	Opt-in llama-family CUDA graph capture/replay path.
FERRUM_CUDA_MAX_KV	integer	64	crates/ferrum-kernels/src/backend/cuda/mod.rs	runtime	experimental	startup	runtime_config.cuda.max_kv_shared_cap	Retire env after CUDA kernel launch config is typed	Overrides dynamic shared-memory KV cap for CUDA attention kernels.
FERRUM_DEBUG_SPEC_POS	bool	unset	crates/ferrum-engine/src/continuous_engine.rs	debug	diagnostic	request	runtime_config.diagnostics.spec_position_debug	Replace with structured speculative-decoding debug event	Speculative decoding position instrumentation flag referenced by engine debug logs.
FERRUM_DTYPE	enum	device default	crates/ferrum-engine/src/registry.rs	runtime	default	startup	runtime_config.model.dtype	none	Global non-CPU dtype override such as fp16 or fp32.
FERRUM_FA_DECODE	bool	1	crates/ferrum-kernels/src/attention/metal/pipelines.rs	runtime	experimental	startup	runtime_config.attention.metal_fa_decode	Retire env after Metal attention backend config is typed	Allows Metal FlashAttention decode widening unless set to 0.
FERRUM_FA_LEGACY	bool	0	crates/ferrum-kernels/src/attention/metal/pipelines.rs	runtime	deprecated	startup	runtime_config.attention.metal_force_legacy_fa	Remove after legacy Metal FA path is retired	Forces legacy Metal FlashAttention pipeline.
FERRUM_FUSED_CPU	bool	0	crates/ferrum-kernels/src/attention/mod.rs	runtime	experimental	startup	runtime_config.attention.fused_cpu	Retire env after attention backend config is typed	Forces CPU fused attention path when set to 1.
FERRUM_FUSED_METAL	bool	0	crates/ferrum-kernels/src/attention/mod.rs	runtime	experimental	startup	runtime_config.attention.fused_metal	Retire env after attention backend config is typed	Forces Metal fused attention path when set to 1.
FERRUM_KV_BLOCKS	integer	1024	crates/ferrum-kernels/src/backend/cuda/cuda_decode.rs	runtime	deprecated	startup	runtime_config.kv.max_blocks	Replace with FERRUM_KV_MAX_BLOCKS / typed KV config	Legacy CUDA decode paged-KV block-count override.
FERRUM_KV_CAPACITY	integer	backend/model default	crates/ferrum-cli/src/gpu_mem_autosize.rs; crates/ferrum-kernels/src/backend/cuda/paged.rs; crates/ferrum-models/src/models/qwen3_moe.rs	runtime	default	startup	runtime_config.kv.capacity	none	Maximum KV capacity used by model and backend allocation paths.
FERRUM_KV_MAX_BLOCKS	integer	auto-sized or config default	crates/ferrum-cli/src/gpu_mem_autosize.rs; crates/ferrum-types/src/config.rs; crates/ferrum-models/src/models/qwen3_moe.rs	runtime	default	startup	runtime_config.kv.max_blocks	none	BlockPool max block count; often set by GPU memory autosizer.
FERRUM_MARLIN_SKIP_WS_ZERO	bool	0	crates/ferrum-kernels/src/backend/cuda/marlin.rs	runtime	experimental	startup	runtime_config.quant.marlin_skip_workspace_zero	Retire env after Marlin launch config is typed	Skips Marlin workspace zeroing for a small cleanup/perf experiment.
FERRUM_MARLIN_TILE	enum	auto	crates/ferrum-kernels/kernels/marlin_cuda_kernel.cu	runtime	diagnostic	request	runtime_config.quant.marlin_tile	Replace C++ getenv with typed launch parameter	Manual Marlin tile override such as 64x256 or 128x128.
FERRUM_MAX_BATCHED_TOKENS	integer	auto-sized or model default	crates/ferrum-cli/src/gpu_mem_autosize.rs; crates/ferrum-types/src/config.rs; crates/ferrum-models/src/models/qwen3_moe.rs	runtime	default	startup	runtime_config.scheduler.max_batched_tokens	none	Scheduler/model max batched-token budget, often set by GPU autosizer.
FERRUM_MAX_MODEL_LEN	integer	unset; model/workload default	crates/ferrum-types/src/auto_config.rs	runtime	experimental	startup	runtime_config.model.max_model_len	Promote to config/CLI field after auto-config owns KV sizing	Requested serving max model length used to validate KV token capacity against explicit overrides.
FERRUM_METAL_CAPTURE	path	unset	crates/ferrum-kernels/src/backend/metal/mod.rs	debug	diagnostic	startup	runtime_config.diagnostics.metal_capture_path	Replace with typed diagnostics config	Metal capture output path; requires MTL_CAPTURE_ENABLED.
FERRUM_METAL_DTYPE	enum	fp16/crate default	crates/ferrum-engine/src/registry.rs; crates/ferrum-kernels/src/backend/metal/mod.rs	runtime	default	startup	runtime_config.model.metal_dtype	none	Metal-specific dtype override, falling back to FERRUM_DTYPE.
FERRUM_METAL_PAGED_KV	bool	backend default; source resolver may set	crates/ferrum-cli/src/source_resolver.rs; crates/ferrum-models/src/models/llama_family.rs; crates/ferrum-models/src/models/qwen3_moe.rs	runtime	default	startup	runtime_config.kv.metal_paged	none	Enables Metal paged-KV path for supported models.
FERRUM_MODEL_PATH	path	unset	crates/ferrum-engine/src/builder.rs; crates/ferrum-engine/src/registry.rs	runtime	default	startup	--model / EngineConfig.backend_options.model_path	Compatibility alias only; CLI run/serve/bench pass typed backend options	Model path override consumed by engine registry when no typed model path is supplied.
FERRUM_MOE_BATCHED	bool	auto-on for Qwen3 GGUF defaults unless env 0 forces legacy	crates/ferrum-cli/src/source_resolver.rs; crates/ferrum-models/src/models/qwen3_moe.rs	runtime	default	request	runtime_config.moe.batched	none	Enables Qwen3-MoE batched expert path above threshold.
FERRUM_MOE_BATCHED_DECODE	bool	default on unless env 0 forces off	crates/ferrum-cli/src/source_resolver.rs; crates/ferrum-models/src/models/qwen3_moe.rs	runtime	default	request	runtime_config.moe.batched_decode	none	Enables Qwen3-MoE batched decode path.
